# BUS - Operating Systems: Kahoot-Style Multiple Choice Questions
# Format: Question | Correct Answer | Wrong A | Wrong B | Wrong C | Explanation
# (Kahoot-style: short answer options, questions may include context)

## Operating System Basics

Microkernels move most services to... | User mode as servers | The BIOS | The GPU | The cloud | Microkernels keep only a minimal set in kernel space; other services run in user mode as servers.
What is a key advantage of microkernels? | Enhanced safety | Faster syscalls | More drivers | Larger size | A crashed server does not crash the whole system, giving enhanced safety.
Hybrid kernels are used by which OS? | Windows NT | Linux | Minix | Unikraft | Windows NT is a hybrid kernel (monolithic base with some user-space servers).
Unikernels embed all software in which privilege level? | Supervisor mode | User mode | Ring 3 | Guest mode | Unikernels run kernel and apps together in supervisor mode.
In unikernels, system calls become... | Regular functions | Hardware traps | Network calls | BIOS calls | Since everything shares one privilege level, system calls become regular function calls.

## Processes

What represents an instance of a running program? | Process | Thread | Function | Variable | A process is an instance of a running program with code, memory, registers and resources.
A program is best described as... | A recipe (code) | Running execution | A thread | A file | A program is the recipe (code); execution of it is a process.
Which is NOT a way a process can be created? | Deleting a file | User starts program | Parent creates it | System boot | Processes are created by users, by other processes, or at boot - not by deleting files.
A process with no user interaction is called... | Background process | Foreground process | Daemon thread | Kernel task | Background processes run without user interaction.
Background processes that always stay background are called... | Daemons | Threads | Shells | Drivers | Long-lived background processes are called daemons or services.
In UNIX, the root of the process tree is... | init | kernel | bash | systemd | init is the first process created at boot and is the root of the process tree.
Windows process hierarchy is based on... | Handles to children | A full tree | init | PIDs only | Windows gives parents a handle to their children rather than a full tree.
Which is NOT one of the 3 process states? | Compiling | Ready | Running | Blocked | The three states are Ready, Running and Blocked - not Compiling.
The PCB is used to... | Describe the process | Compile code | Manage disks | Render UI | The Process Control Block describes a process and stores its state.
Which memory region grows toward higher addresses? | Heap | Stack | Text | Data | The heap grows toward higher addresses (e.g. via malloc).
Which memory region grows toward 0x00000000? | Stack | Heap | BSS | Data | The stack grows toward lower addresses, down to 0x00000000.
The Page Table Pointer is one of the... | Process registers | File types | Schedulers | Devices | The page table pointer is one of the four key process registers.
Context switch step: registers are saved into... | The PCB | The disk | The cache | The stack | During a context switch the CPU registers are saved into the process's PCB.
Processes are isolated from each other unless... | Explicitly stated | Always shared | In kernel | On boot | Processes are isolated unless the program explicitly shares memory, files, etc.
Why is the process mechanism considered heavyweight? | Costly creation | Too safe | No memory | Single core | Creating a process and setting up communication is costly, making it heavyweight.

## Threads

What executes the instructions within a process? | Thread | Process | Core | Register | A thread is the entity that executes the instructions.
Threads in the same process share their... | Memory | Stack | Registers | Program counter | Threads of one process share the same address space (memory).
Which data is private to a thread? | Program counter | Address space | Global vars | Open files | Each thread has its own program counter, registers, stack and state.
User threads are typically provided by... | Languages/libraries | The BIOS | The disk | The GPU | User threads are provided by languages (Java, Go) or libraries (OpenMP).
Attaching user threads to OS threads is called... | Thread Mapping Model | Context switch | Fork | Paging | The Thread Mapping Model attaches user threads to kernel threads.
In the 1:1 mapping model, each user thread maps to... | One kernel thread | No kernel thread | Many kernels | The disk | In 1:1 each user thread is attached to exactly one kernel thread.
N:1 mapping provides... | Full scheduling control | Parallelism | OS support | More cores | N:1 gives the runtime full scheduling control but no parallelism.
N:M mapping is used in... | Go, Haskell, Erlang | C, Java | Python, PHP | Assembly | N:M maps N user threads to M kernel threads, used in Go, Haskell, Erlang.
User threads sharing one kernel thread can all block due to... | One blocking op | A fork | A signal | A page fault | If one user thread blocks on a kernel thread, all sharing it block too.
The scheduler allocates which resource? | CPU | Disk | RAM | GPU | The scheduler allocates CPU resources to threads.
CPU-bound applications have... | Few IO waits | Many IO waits | No threads | No memory | CPU-bound programs do long computations with few IO waits.
A non-preemptive scheduler runs a thread until it... | Blocks or yields | Times out | Reboots | Crashes | A non-preemptive scheduler runs a thread until it blocks, terminates or yields.
Batch scheduling targets which workload? | CPU-bound | IO-bound | Real-time | Interactive | Batch scheduling targets CPU-bound, long-running jobs.
Interactive scheduling needs preemption for... | Responsiveness | Security | Compilation | Encryption | Preemption keeps interactive (IO-bound) apps responsive to the user.

## Scheduling Algorithms

FCFS stands for... | First-Come First-Served | Fast Cache File System | Fixed Core Frequency | Free CPU Scheduling | FCFS serves threads in order of arrival, non-preemptively.
Shortest Job First is optimal when... | All jobs known in advance | Jobs arrive randomly | No preemption | Single core | SJF is optimal only when all job runtimes are known in advance.
Shortest Remaining Time is the preemptive version of... | SJF | FCFS | Round-Robin | Lottery | SRT is the preemptive variant of Shortest Job First, sorted by remaining time.
Round-Robin assigns each thread a... | Time quantum | Priority | Stack | File | Round-Robin gives each thread a fixed time quantum before switching.
Priority-based scheduling always picks the... | Highest priority | Oldest thread | Smallest job | First arrival | Priority scheduling always runs the thread with the highest priority.
A fair scheduler gives each thread... | Equal CPU time | Highest priority | Smallest quantum | Most memory | A fair scheduler gives every thread the same amount of CPU time.
A lottery scheduler chooses next thread... | Randomly | By priority only | By age | By size | A lottery scheduler picks the next thread randomly, weighted by tickets.
Hard real time means the deadline... | Must be met | Can be missed | Is ignored | Is optional | In hard real time missing a deadline breaks the system (e.g. car brakes).
Soft real time means deadlines... | Can be missed | Must be met | Are fatal | Do not exist | Soft real time can occasionally miss deadlines without breaking the system.
EDF stands for... | Earliest Deadline First | Efficient Data Fetch | External Device Flag | Easy Deadline First | Earliest Deadline First schedules by the soonest deadline.

## Memory Mapping

Direct Physical Mapping allows how many processes in memory? | One | Many | Unlimited | Two | Direct physical mapping allows only one process in memory at a time.
Swapping memory is NOT applicable for... | Multi-core systems | Single core | Small RAM | Disks | Swapping in/out of storage is not applicable for multi-core systems.
IBM360 used which isolation mechanism? | Protection keys | Page tables | TLBs | Shadow pages | IBM360 used hardware memory protection keys per block.
Static relocation patches addresses by adding the... | Base address | Limit | Offset | Stack | Static relocation patches every address by adding the load base address.
Dynamic relocation uses which two registers? | Base and Limit | PC and SP | IP and GP | TLB and MMU | Dynamic relocation uses a Base register and a Limit register in hardware.
Which technique keeps recently used processes in RAM? | Swapping | Compilation | Encryption | Caching | Swapping keeps recently/frequently used processes in RAM and pushes old ones to storage.
Memory fragmentation can be fixed by... | Compaction | Paging | Forking | Linking | Compaction merges small free chunks into one large block.
Fixed-size address spaces allocate a... | Contiguous chunk | Random bits | Single page | TLB entry | Fixed-size spaces allocate one contiguous chunk of the process size.
When heap and stack touch, the process is... | Out-of-Memory | Crashed | Forked | Swapped | When heap and stack meet, the process is Out-of-Memory.
Bitmaps track free memory with... | One bit per chunk | A list | A tree | A hash | A bitmap uses one bit per memory chunk (0 free, 1 used).
Free lists store elements with state, address and... | Size | Color | Priority | Name | Each free-list element stores state, starting address and size.
Best fit allocation searches for the... | Smallest fitting chunk | First fit | Biggest chunk | Random chunk | Best fit searches for the smallest chunk that fits.
Worst fit always inserts into the... | Biggest chunk | Smallest chunk | First chunk | Last chunk | Worst fit always inserts into the biggest chunk to avoid small leftovers.

## Virtual Memory

Virtual memory splits address spaces into... | Pages | Segments | Blocks | Files | Virtual memory splits address spaces into fixed-size pages.
The MMU converts virtual to... | Physical addresses | File names | Threads | Ports | The Memory Management Unit translates virtual addresses into physical addresses.
A page is a unit of... | Virtual memory | Disk | Cache | Register | A page is a fixed-size unit of virtual memory.
A page-frame is a unit of... | Physical memory | Virtual memory | Cache | Stack | A page-frame is a fixed-size unit of physical memory.
On a page fault, the OS first... | Evicts another page | Reboots | Forks | Crashes | On a page fault the OS evicts another page to free a frame, then loads the needed one.
The Present bit being 0 means the page is... | Only in storage | In RAM | Corrupted | Locked | Present=0 means the page is only in storage, not mapped into a frame.
The Dirty/Modified bit indicates the page was... | Changed | Read | Freed | Mapped | The dirty bit is 1 if the page was modified since being loaded.
The Referenced bit helps choose which page to... | Evict | Load | Fork | Cache | The referenced bit shows recent use and helps pick a victim to evict.
Multi-level page tables save memory because processes... | Use <100% of space | Are large | Use TLBs | Are fast | Processes rarely use their whole address space, so multi-level tables skip unused parts.
The TLB is a small cache for... | Address translations | Files | Threads | Disks | The Translation Lookaside Buffer caches virtual-to-physical address translations.
TLB entries are invalidated on context switch via... | Flush or PCID | Reboot | Fork | Paging | On a context switch the TLB is flushed, or PCID tags entries per process.
Copy-on-write makes fork() nearly free by... | Sharing page frames | Copying RAM | Locking TLB | Swapping | fork() shares page frames until a write occurs, then copies only that page.
Segmentation uses a table with base, length and... | Metadata | TLB | Cache | Stack | A segment table stores base, length and metadata (present, supervisor, protection bits).
Segmentation + Paging combines both into a... | Hybrid scheme | Single page | Flat model | BIOS table | Segmentation plus paging combines both mechanisms into a hybrid virtual memory.
Eviction writes back a modified page to... | Storage | TLB | Cache | Register | A modified (dirty) page is written back to storage before being evicted.
FIFO replacement evicts the... | Oldest page | Newest page | Dirtiest page | Smallest page | FIFO evicts the page that was loaded longest ago (oldest).
Clock replacement uses the... | Referenced bit | Dirty bit | Present bit | Limit register | Clock uses the referenced bit in a circular list to approximate LRU.
LRU evicts the page... | Unused longest | Newest | Biggest | Dirtiest | Least Recently Used evicts the page not used for the longest time.
The Buddy allocator splits chunks by... | Powers of two | Primes | Bytes | Pages | The Buddy allocator repeatedly splits chunks into powers of two.
User-space allocators manage free space via a... | Free list | TLB | PCB | Disk | User-space allocators maintain a free list for returned objects.

## File Systems

The main abstraction for user data is the... | File | Process | Thread | Port | The file is the main abstraction for manipulating persistent data.
A file is a logical unit stored... | Persistently on disk | In RAM only | In cache | In TLB | A file is a logical unit of information stored persistently on disk.
Unstructured raw data files are just a... | Sequence of bytes | Tree | Record | Index | Most modern files are just a sequence of bytes; the program interprets them.
ELF stands for... | Executable and Linkable Format | Easy Linux File | External Link File | Encrypted Log Format | ELF is the Executable and Linkable Format used for binaries.
A file descriptor contains access mode, position and... | File identifier | TLB | Stack | PCB | A file descriptor holds access mode, cursor position and a file identifier.
A flat directory has... | One single directory | A tree | Many roots | No files | A flat directory topology has a single directory holding all files.
An absolute path starts with the... | Root | Current dir | File name | Symlink | An absolute path starts from the root of the filesystem.
A hard link increments the file's... | Link counter | Size | Priority | TLB | A hard link adds another directory entry and increments the link counter.
A symbolic link contains a... | Path to another file | Inode | TLB | Stack | A symlink is a special file containing a path to another file.
MBR stands for... | Master Boot Record | Memory Block Register | Main Boot RAM | Meta Block Record | The Master Boot Record holds bootstrap code and the partition table.
GPT uses a GUID... | Partition Table | Boot Record | File system | Cache | GPT is the GUID Partition Table, the modern disk layout scheme.
A partition's superblock contains... | All metadata | One file | The TLB | The stack | The superblock contains all metadata about the filesystem on that partition.
Inodes store file metadata without... | Fragmentation issues | A name | An ID | A pointer | Inodes avoid fragmentation and need little memory; only used inodes stay in RAM.
POSIX permissions have 3 classes: owner, group and... | Others | Root | Kernel | Disk | POSIX permissions apply to owner, group and others.
The execute bit on a directory allows... | Accessing file content | Listing names | Deleting files | Writing data | Execute on a directory lets you access file content inside it (not list names).
Octal permission notation uses... | 3 digits | 1 digit | 4 letters | 2 bits | Octal notation uses three digits, one per class (owner, group, others).
NFSv4 ACL entries are called... | ACE | ACEs are wrong | PID | TLB | NFSv4 ACLs are made of Access Control Entries (ACE).
Journaling recovers a partition by... | Replaying the journal | Rebooting | Forking | Caching | Journaling logs operations; on crash the journal is replayed to recover.
Deduplication merges identical blocks via... | Copy-on-write | Encryption | Paging | Forking | Deduplication points multiple inodes to one block and uses copy-on-write on modification.

## I/O Devices

Block devices work with... | Fixed-size blocks | Char streams | Pipes | Signals | Block devices address fixed-size, addressable blocks (e.g. disks).
A keyboard is a... | Character device | Block device | Disk | GPU | A keyboard is a character device working with streams of characters.
Device controllers expose... | Control registers | Files | Threads | TLBs | Controllers expose control registers the OS reads/writes to drive the device.
Memory-mapped devices use regular... | Memory operations | I/O ports | BIOS calls | Fork | Memory-mapped devices are accessed via normal memory operations at mapped addresses.
DMA frees the CPU by copying between... | Storage and memory | Cache and TLB | Stack and heap | Disk and GPU | DMA copies data between storage and memory without CPU involvement.
An interrupt is a... | High-priority signal | Low signal | File | Thread | An interrupt is a high-priority signal that preempts the CPU for urgent handling.
The interrupt controller adds the... | IRQ number | TLB | Stack | PID | The interrupt controller adds an IRQ number identifying the source.
A trap is a... | Software interrupt | Hardware fault | Disk error | Clock tick | A trap (software interrupt) is deliberately triggered, e.g. for a system call.
The interrupt vector holds... | Handler addresses | Files | Threads | Pages | The interrupt vector holds the addresses of the interrupt handlers, indexed by IRQ.
ISR stands for... | Interrupt Service Routine | Internal System Register | IO Status Request | Indexed Stack Record | ISR is the Interrupt Service Routine that processes an interrupt.
Saving context on the kernel stack risks invalidating... | TLB entries | Files | Ports | Disks | Switching to the kernel stack may invalidate TLB entries for the new context.
Masked interrupts are... | Deferred or ignored | Always handled | Fatal | Encrypted | A masked interrupt is deferred or ignored until unmasked.
A divided handler splits work into... | 2 levels | 4 levels | 1 level | 8 levels | A divided handler does quick work in level 1 and slower work in level 2.
A clock's oscillator decrements the... | Counter | Register | Cache | TLB | A clock's oscillator decrements the counter each tick until it hits zero.
Periodic clock ticks drive the... | Scheduler | Compiler | Linker | Disk | Periodic clock ticks call the scheduler at regular intervals.
Soft timers are managed by the... | OS | Hardware | BIOS | GPU | Soft timers are managed by the OS in software, not by hardware.
Synchronous I/O means the program... | Waits for completion | Continues freely | Crashes | Forks | Synchronous I/O blocks the program until the operation finishes.
Programmed I/O makes the CPU... | Poll and wait | Sleep | Fork | Cache | With programmed I/O the CPU polls and waits, wasting cycles.
DMA-driven I/O is... | Slower but offloads CPU | Faster than CPU | Encrypted | Unused | DMA offloads the CPU but the data path is slower than CPU copies.
Device drivers adapt specific devices to a... | Generic API | BIOS | Disk | TLB | Drivers translate a generic OS API into device-specific commands.
The generic I/O layer provides a... | Uniform interface | New disk | TLB | Stack | The generic I/O layer gives one uniform interface for all devices.
Ring buffering uses producer and... | Consumer pointers | TLB entries | File names | Page frames | Ring buffers use a producer pointer (write) and a consumer pointer (read).
I/O errors from mechanics are... | Not solvable in OS | Always fatal | Encrypted | Cached | Mechanical I/O errors cannot be solved in the OS; it may only retry.

## Storage Devices

A cylinder is a concentrical strip of... | Platters | Tracks | Sectors | Heads | A cylinder is the set of tracks at the same position across all platters.
CHS stands for Cylinder, Head and... | Sector | Stack | Size | Speed | CHS addresses a sector by Cylinder, Head and Sector coordinates.
LBA stands for... | Logical Block Addressing | Linear Block Access | Large Block Array | Logical Byte Address | LBA numbers blocks linearly from 0 to n-1 and is used today.
A sector traditionally holds... | 512 bytes | 1 KB | 4 KB | 256 bytes | A traditional disk sector holds 512 bytes.
Seek time is the time for the head to move... | Between cylinders | Rotating | Transferring | Caching | Seek time is the time for the head to move between cylinders.
The Elevator Algorithm is also called... | SCAN | LOOK | C-SCAN | FCFS | The elevator algorithm is also called SCAN (sweep back and forth).
C-SCAN returns the head to the... | First cylinder | Last cylinder | Middle | Disk end | C-SCAN returns the head straight back to the first cylinder after the last.
SSDs have no... | Moving parts | Cache | Controller | Encryption | SSDs store data in cells with no moving mechanical parts.
Wear-leveling avoids... | Future access issues | Faster reads | More cache | Encryption | Wear-leveling remaps cells so none wear out from too many writes.
USB message pipes are... | Bidirectional | Unidirectional only | Block-only | Char-only | Message pipes are bidirectional; stream pipes are unidirectional.
USB interrupt transfers guarantee... | Latency | Bandwidth | Encryption | Priority | USB interrupt transfers guarantee bounded latency for periodic data.
A frame buffer represents each pixel in a... | Rectangular area | List | Tree | Stack | A frame buffer is a rectangular area where each pixel is represented.
Screen tearing is solved by... | Synchronization | Reboot | Fork | Caching | Screen tearing is solved by synchronizing buffer updates (e.g. vsync).

## Concurrency

Concurrency means multiple programs execute... | Simultaneously (logically) | On many cores | Never | Sequentially | Concurrency is logical simultaneity, even on one core via context switches.
Parallelism uses multiple... | CPU cores | Threads | Files | Ports | Parallelism uses multiple CPU cores at the same time.
A race condition depends on the... | Order of operations | CPU speed | Disk size | File name | A race condition's result depends on the unpredictable order of operations.
A critical section allows at most... | One thread | Many threads | No threads | All threads | A critical section must be entered by at most one thread at a time.
A mutex has 2 primitives: lock and... | Unlock | Signal | Wait | Fork | A mutex provides lock() to enter and unlock() to leave the critical section.
A semaphore allows more than one thread via a... | Resource counter | Single lock | TLB | Stack | A semaphore uses a resource counter K allowing multiple threads in.
wait() on a semaphore... | Decrements K | Increments K | Forks | Crashes | wait() blocks until K>0 then decrements K by one.
The producer-consumer pattern uses a... | Pipeline | Mutex only | TLB | Disk | Producer-consumer builds a data pipeline between two threads via a buffer.
A condition's wait() releases the... | Mutex | Stack | File | TLB | condition.wait(mutex) releases the mutex while waiting for the condition.
A barrier blocks until... | All threads arrive | One thread arrives | Disk ready | TLB full | A barrier blocks threads until all expected threads have reached it.
Readers-Writer locks allow N readers and... | 1 writer | 0 writers | Many writers | No lock | Readers-Writer locks allow many readers but only one writer at a time.
Read-Copy-Update allows... | Lock-free access | No readers | Single writer | TLB only | RCU allows lock-free reads and updates by keeping old and new versions.
Priority inversion is solved by... | Priority inheritance | Reboot | Fork | Caching | Priority inheritance temporarily gives the lock holder the waiting thread's priority.

## IPC and Deadlocks

Message passing primitives are send and... | Receive | Wait | Fork | Signal | Message passing uses send(destination, message) and receive(source, message).
UNIX pipes are implemented as a kernel... | Memory buffer | File disk | TLB | Stack | UNIX pipes are a unidirectional kernel memory buffer between processes.
Shared memory needs... | Synchronization | Encryption | Forking | Paging | Shared memory requires synchronization to avoid race conditions.
A signal is an asynchronous... | Notification | File | Thread | Port | A signal is an asynchronous notification sent between processes.
Preemptable resources can be taken away... | Without breaking logic | Never | By disk | By TLB | Preemptable resources can be taken without breaking program logic.
Deadlock requires how many conditions? | 4 | 2 | 3 | 1 | All four Coffman conditions must hold simultaneously for a deadlock.
The Ostrich Algorithm means... | Ignoring the problem | Detecting it | Preventing it | Recovering | The Ostrich Algorithm simply ignores deadlocks (head in the sand).
Deadlock detection uses a... | Dependency graph | TLB | Stack | File | Deadlock detection builds a resource dependency graph and looks for cycles.
Deadlock prevention breaks one of the... | 4 conditions | 2 conditions | 3 conditions | 1 condition | Prevention breaks at least one of the four Coffman conditions.
A livelock means resources are... | Actively working, no progress | Blocked | Freed | Encrypted | In a livelock threads keep working but make no real progress.
Starvation means a thread fails to... | Make progress | Start | Fork | Cache | Starvation is when a thread never gets to make progress.

## Virtualization

Virtualization gives the illusion of multiple... | Machines | Cores | Threads | Disks | Virtualization gives the illusion of multiple virtual machines on one physical machine.
The VMM is also called a... | Hypervisor | Kernel | Driver | BIOS | The Virtual Machine Monitor is the hypervisor.
A type 1 hypervisor runs on... | Bare hardware | An OS | A disk | A GPU | A type 1 (bare-metal) hypervisor runs directly on the hardware.
Trap-and-emulate triggers a trap on... | Privileged instructions | Regular code | Files | TLBs | Trap-and-emulate traps only privileged instructions and emulates them safely.
Paravirtualization uses... | Hypercalls | BIOS calls | Fork | TLB | Paravirtualized guests use hypercalls to request privileged operations.
CPU virtualization can expose more vCPUs than... | Physical CPUs | Threads | Files | Disks | The hypervisor can expose more vCPUs than physical CPUs (overcommit).
Nested page tables help with... | Memory virtualization | Disk I/O | TLB flush | Forking | Nested page tables let the MMU walk guest and host tables for memory virtualization.
Device passthrough maps a device to... | A single guest | All guests | The disk | The TLB | Passthrough maps a device exclusively to one guest with no hypervisor in the path.
Containers isolate a... | User space environment | Whole machine | The disk | The BIOS | Containers isolate a user-space environment, not a full machine.
